"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-04-24","68"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-04-25","66"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-04-26","66"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-04-27","67"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-04-28","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-04-30","66"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-05-02","65"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-05-28","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-06-13","77"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-06-14","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-06-15","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-06-16","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-06-17","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-06-18","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-06-19","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-06-20","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-06-21","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-06-22","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-06-23","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-06-24","73"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-06-25","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-06-26","60"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-07-01","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-07-04","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-07-05","76"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-07-12","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-07-13","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-07-16","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-07-17","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-07-18","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-07-19","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-07-20","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-07-21","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-07-22","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-07-23","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-07-24","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-07-25","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-07-26","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-07-27","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-07-28","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-07-29","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-07-30","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-07-31","78"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-01","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-02","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-03","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-04","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-05","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-06","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-07","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-08","73"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-09","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-10","73"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-11","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-12","73"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-13","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-14","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-15","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-16","73"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-17","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-18","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-19","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-20","73"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-21","76"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-22","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-23","73"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-24","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-25","76"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-26","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-28","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-29","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-30","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-08-31","76"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-01","78"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-02","76"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-03","77"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-04","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-05","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-06","68"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-07","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-08","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-09","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-10","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-11","64"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-12","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-13","66"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-14","66"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-15","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-16","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-17","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-18","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-19","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-20","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-21","73"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-22","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-23","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-24","77"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-25","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-26","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-27","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-28","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-29","68"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-09-30","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-01","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-02","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-03","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-04","66"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-05","68"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-06","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-07","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-08","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-09","73"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-10","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-11","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-12","73"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-13","65"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-14","65"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-15","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-16","65"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-17","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-18","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-19","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-20","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-21","68"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-22","66"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-23","68"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-24","64"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-25","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-26","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-27","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-28","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-29","73"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-30","67"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-10-31","68"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-01","67"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-02","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-03","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-04","68"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-05","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-06","67"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-07","66"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-14","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-15","63"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-16","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-17","73"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-18","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-19","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-20","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-21","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-22","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-23","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-24","71"
